"ticker","calibration_cohort","review_category","decision","decision_reason","review_owner","reviewed_at","expires_at","active","allow_portfolio_candidate_override","max_position_weight_override","source_reference","next_review_at"
"RMD","home_chronic_care_devices_dme_drug_delivery","hard_red_flag","reject","Verified ongoing magnetic mask interference Class I recall constraints; safety veto stands","fda_hard_red_review","2026-06-26","2026-09-24","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=category_drift_requires_fresh_evidence_review",
"ISRG","capital_equipment_procedure_platforms","manual_review_regulatory_risk","approve","Robotic system platform multi-site regulatory amendments do not present system failure risk","fda_event_risk_review","2026-06-26","2026-07-23","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Bypasses diversified-company noise threshold",
"WGS","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","Reroute whole genome sequencing platforms via IVD software infrastructure templates","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Corrects pipeline attribution mismatch",
"DXCM","home_chronic_care_devices_dme_drug_delivery","hard_red_flag","reject","Hard-red Class I sensor recall verified on material safety vectors; maintain risk block","fda_hard_red_review","2026-06-26","2026-09-24","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=category_drift_requires_fresh_evidence_review",
"LH","healthcare_services_cro_lab_services","manual_review_regulatory_risk","data_fix_needed","Reroute central clinical testing arrays away from physical hardware gates to CLFS module","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=CLFS laboratory-services routing verified",
"BAX","hospital_supplies_surgical_consumables_oem","hard_red_flag","reject","Life2000 Ventilation cybersecurity and infusion line leakage Class I recalls are material","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Veto remains active based on broad-sleeve exposure",
"BDX","hospital_supplies_surgical_consumables_oem","hard_red_flag","reject","Confirmed multiple Class I infusion catheter syringe pump and safety valve field actions","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Standardized safety gate isolation pass",
"VCYT","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","Veracyte genomic test classification requires molecular pathology/LDT pipeline mapping","fda_footprint_review","2026-06-26","2026-07-23","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Clears manual diagnostics mismatch",
"ENOV","orthopedics_spine_sports_implants","manual_review_regulatory_risk","watchlist","DJO/Enovis orthopedic bracing recall tracking is non-critical but requires structural monitoring","fda_event_risk_review","2026-06-26","2026-08-25","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=category_drift_requires_fresh_evidence_review",
"IART","hospital_supplies_surgical_consumables_oem","hard_red_flag","reject","Structural FDA warning letter and localized manufacturing tissue matrix recovery halts persist","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Mitigates active regulatory compliance drawdowns",
"QDEL","diagnostics_clinical_tests","manual_review_regulatory_risk","watchlist","QuidelOrtho immunoassay diagnostics platform consolidation updates require cross-regime monitoring","fda_event_risk_review","2026-06-26","2026-08-25","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=category_drift_requires_fresh_evidence_review",
"CERS","hospital_supplies_surgical_consumables_oem","manual_review_regulatory_risk","data_fix_needed","Cerus Intercept blood system requires biological/pathogen reduction processing tracking loops","fda_footprint_review","2026-06-26","2026-07-23","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Updates manual diagnostic footprints",
"BSX","implantable_interventional_devices_direct_payment","manual_review_regulatory_risk","approve","Cardiovascular catheter / left atrial appendage closure line modifications are routine","fda_event_risk_review","2026-06-26","2026-07-23","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Large diversified player noise cleared",
"TFX","hospital_supplies_surgical_consumables_oem","hard_red_flag","reject","Teleflex structural catheter inflation and balloon separation Class I failures remain active","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Veto verified against database bounds",
"MMSI","implantable_interventional_devices_direct_payment","manual_review_regulatory_risk","watchlist","Merit Medical specialized inflation pack variations require secondary cohort parameter checks","fda_event_risk_review","2026-06-26","2026-08-25","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Monitors intermediate event tracking",
"ESTA","elective_vision_dental_aesthetic_devices","manual_review_regulatory_risk","watchlist","Establishment Labs breast implant international regulatory footprints warrant event review","fda_event_risk_review","2026-06-26","2026-08-25","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Maintains aesthetic risk isolation",
"CSTL","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","Castle Biosciences skin cancer multi-analyte assay profiling requires molecular pathology routing","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=DecisionDx-Melanoma CPT 81529 and MolDX coverage documented",
"NEO","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","NeoGenomics oncology testing laboratory services require CLFS file integration checks","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=CLFS/MolDX laboratory-services routing and PanTracer LBx coverage documented",
"AVNS","hospital_supplies_surgical_consumables_oem","hard_red_flag","reject","Avanos specialized enteral feeding tube assembly Class I recall verified as material","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Isolates home chronic device risks",
"LMAT","implantable_interventional_devices_direct_payment","manual_review_regulatory_risk","watchlist","LeMaitre Vascular biologic graft processing modifications held for cross-sectional alignment","fda_event_risk_review","2026-06-26","2026-08-25","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Monitors minor vascular lines",
"ADPT","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","Adaptive Biotechnies immune sequence tracking requires LDT diagnostic framework routing","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=DEN170080 and K200009/QDC verified; false DEN190035 excluded",
"ITGR","hospital_supplies_surgical_consumables_oem","hard_red_flag","reject","Upstream contract component manufacturing death adverse event logs must be isolated","fda_hard_red_review","2026-06-26","2026-09-24","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=category_drift_requires_fresh_evidence_review",
"EW","implantable_interventional_devices_direct_payment","hard_red_flag","reject","Edwards transcatheter structural heart valve line field corrections remain active","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Validates structural device safety veto",
"PODD","home_chronic_care_devices_dme_drug_delivery","hard_red_flag","reject","Insulet Omnipod automated insulin control software anomalies require persistent blocking","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Protects drug delivery option tracks",
"FMS","healthcare_services_cro_lab_services","hard_red_flag","reject","Fresenius dialysis clinic machine component material Class I chemical/fluid contamination remains","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Sustains baseline dialyzer safety limits",
"MDT","implantable_interventional_devices_direct_payment","hard_red_flag","reject","Medtronic neurovascular embolic/catheter high-materiality adverse event flags require hard blocking","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Defends cross-sectional safety boundaries",
"ABT","implantable_interventional_devices_direct_payment","manual_review_regulatory_risk","approve","Diversified cardiac mapping and structural vascular tracking amendments are routine noise","fda_event_risk_review","2026-06-26","2026-07-23","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Bypasses top-tier conglomerate noise bounds",
"MDLN","hospital_supplies_surgical_consumables_oem","avoid_confirmed_regulatory_risk","reject","Confirmed regulatory risk layer on basic surgical drape/gown lines requires safety rejection","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Locks out trailing commodity supply entries",
"ICUI","hospital_supplies_surgical_consumables_oem","manual_review_regulatory_risk","approve","ICU Medical infusion management software firmware corrections match baseline operations","fda_event_risk_review","2026-06-26","2026-07-23","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Clears intermediate drug delivery noise",
"ANGO","implantable_interventional_devices_direct_payment","manual_review_regulatory_risk","watchlist","AngioDynamics mechanical thrombedectomy catheter line tracking held for event verification","fda_event_risk_review","2026-06-26","2026-08-25","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Maintains peripheral vascular monitor",
"OFIX","orthopedics_spine_sports_implants","manual_review_regulatory_risk","watchlist","Orthofix spinal fixation hardware amendment processing holds for structural tracking","fda_event_risk_review","2026-06-26","2026-08-25","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Monitors intermediate orthopedic metrics",
"PHG","capital_equipment_procedure_platforms","avoid_confirmed_regulatory_risk","reject","Voluntary consent decree and patient portal closure loops confirm high-severity regulatory risk","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Filters out persistent macro respiratory blocks",
"GRAL","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","Grail Galleri multi-cancer assay tracking must bypass standard hardware metrics via LDT pathway","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=self-pay/employer pathway recorded without broad Medicare coverage",
"NVST","elective_vision_dental_aesthetic_devices","manual_review_regulatory_risk","watchlist","Envista dental imaging software processing metrics require multi-regime checking sequences","fda_event_risk_review","2026-06-26","2026-08-25","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Tracks dental software noise",
"TNDM","home_chronic_care_devices_dme_drug_delivery","hard_red_flag","reject","Tandem t:slim mobile insulin dosing app control software Class I recall remains active","fda_hard_red_review","2026-06-26","2026-09-24","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Maintains continuous safety envelope",
"GEHC","capital_equipment_procedure_platforms","manual_review_regulatory_risk","approve","Premium CT/MRI software optimization amendments reflect routine imaging system maintenance","fda_event_risk_review","2026-06-26","2026-07-23","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Clears diversified imaging hardware tracking noise",
"XGN","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","Exagen AVISE rheumatology multiplex assay requires molecular diagnostics mapping infrastructure","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=AVISE Lupus PLA 0312U mapped under immunoassay pathway",
"OSUR","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","OraSure rapid infectious disease assay arrays must route via IVD diagnostic guidelines","fda_footprint_review","2026-06-26","2026-07-23","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Fixes manual footprint omissions",
"CODX","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","Co-Diagnostics multiplex respiratory PCR assays require molecular pathology mapping grids","fda_footprint_review","2026-06-26","2026-07-23","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Maps to biotech historical/weak pipeline layer; biotech_taxonomy_review_required=true; biotech_primary_cohort=10",
"MDAI","capital_equipment_procedure_platforms","manual_review_regulatory_risk","data_fix_needed","Medial EarlySign background EHR algorithmic layer requires hospital overhead budget routing","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=DEN250028 and product code SHY verified; false DEN230015 excluded",
"BDSX","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","Biodesix lung cancer proteomic testing matrices require custom molecular pathology overrides","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=BDX-XL2 PLA 0080U mapped with assay-specific payment evidence",
